,district,month,visitors
0,Adilabad,January,30836
1,Adilabad,February,31774
2,Adilabad,March,10922
3,Adilabad,April,9307
4,Adilabad,May,10020
5,Adilabad,June,11832
6,Adilabad,July,30429
7,Adilabad,August,41245
8,Adilabad,September,35529
9,Adilabad,October,29176
10,Adilabad,November,104878
11,Adilabad,December,32892
12,Bhadradri Kothagudem,January,85790
13,Bhadradri Kothagudem,February,98978
14,Bhadradri Kothagudem,March,91907
15,Bhadradri Kothagudem,April,170644
16,Bhadradri Kothagudem,May,172982
17,Bhadradri Kothagudem,June,159167
18,Bhadradri Kothagudem,July,119099
19,Bhadradri Kothagudem,August,95462
20,Bhadradri Kothagudem,September,73199
21,Bhadradri Kothagudem,October,108019
22,Bhadradri Kothagudem,November,82008
23,Bhadradri Kothagudem,December,131923
24,Hanumakonda,January,36746
25,Hanumakonda,February,42083
26,Hanumakonda,March,36336
27,Hanumakonda,April,35022
28,Hanumakonda,May,32617
29,Hanumakonda,June,35709
30,Hanumakonda,July,37695
31,Hanumakonda,August,38753
32,Hanumakonda,September,37919
33,Hanumakonda,October,36461
34,Hanumakonda,November,39112
35,Hanumakonda,December,38695
36,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",January,2258478
37,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",February,1304258
38,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",March,1115850
39,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",April,190162
40,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",May,2353135
41,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",June,1946127
42,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",July,1197793
43,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",August,1445835
44,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",September,1291334
45,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",October,3274212
46,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",November,1875069
47,"Hyderabad,Ranga Reddy,Medchal - Malkajigiri,Vikarabad",December,3487707
48,Jagtial,January,246818
49,Jagtial,February,444619
50,Jagtial,March,433459
51,Jagtial,April,455132
52,Jagtial,May,477887
53,Jagtial,June,502231
54,Jagtial,July,527235
55,Jagtial,August,553760
56,Jagtial,September,185810
57,Jagtial,October,227720
58,Jagtial,November,430303
59,Jagtial,December,209682
60,Jangaon,January,5760
61,Jangaon,February,5840
62,Jangaon,March,5350
63,Jangaon,April,5210
64,Jangaon,May,4990
65,Jangaon,June,5200
66,Jangaon,July,4905
67,Jangaon,August,5010
68,Jangaon,September,5680
69,Jangaon,October,5115
70,Jangaon,November,4950
71,Jangaon,December,5605
72,Jayashankar Bhoopalpally,January,15958
73,Jayashankar Bhoopalpally,February,15748
