districtName,total_pw_registered,total_kits_distributed,total_deliveries,total_gov_deliveries,total_pvt_deliveries,total_anc1,total_anc2,total_anc4,total_high_risk,total_immunizations,kit_coverage_ratio,gov_facility_utilization,anc4_to_anc1_ratio,high_risk_ratio,anc2_to_anc1_ratio
Adilabad,601,430,1628,554,237,971,1526,1131,507,6902,0.72,0.34,1.16,0.84,1.57
Bhadradri Kothagudem,851,530,2483,715,221,1436,1806,2148,650,8075,0.62,0.29,1.5,0.76,1.26
Hanumakonda,843,333,1750,389,132,1196,1316,1123,816,5799,0.4,0.22,0.94,0.97,1.1
Hyderabad,4782,1341,9415,1871,384,6389,7894,6551,3684,31919,0.28,0.2,1.03,0.77,1.24
Jagithyal,953,396,2110,454,120,1445,1369,1254,876,7400,0.42,0.22,0.87,0.92,0.95
Jangaon,408,365,1022,415,128,661,992,670,364,3919,0.89,0.41,1.01,0.89,1.5
Jayashankar,313,228,793,265,50,513,576,456,324,2525,0.73,0.33,0.89,1.04,1.12
Jogulamba Gadwal,530,367,1723,490,138,1069,1355,1171,568,5762,0.69,0.28,1.1,1.07,1.27
Kamareddy,886,596,2246,768,217,1434,1636,1456,837,7882,0.67,0.34,1.02,0.94,1.14
Karimnagar,970,422,1919,474,113,1355,1471,1483,821,6577,0.44,0.25,1.09,0.85,1.09
Khammam,969,505,2459,576,400,1514,1875,2116,870,9068,0.52,0.23,1.4,0.9,1.24
Kumuram Bheem,450,343,1284,438,121,730,860,789,271,8543,0.76,0.34,1.08,0.6,1.18
Mahabubabad,519,411,1694,458,175,1047,1286,917,671,5695,0.79,0.27,0.88,1.29,1.23
Mahabubnagar,803,351,2219,625,200,1332,1563,1325,718,8367,0.44,0.28,0.99,0.89,1.17
Mancherial,719,364,1693,413,193,1114,1066,901,637,5955,0.51,0.24,0.81,0.89,0.96
Medak,675,615,1958,731,88,1205,1342,1041,679,7058,0.91,0.37,0.86,1.01,1.11
Medchal-Malkajgiri,4520,542,7253,723,923,5373,5319,5440,1689,23304,0.12,0.1,1.01,0.37,0.99
Mulugu,236,171,691,217,31,400,433,402,294,1651,0.72,0.31,1.0,1.25,1.08
Nagarkurnool,615,310,2113,710,125,1226,1509,1211,748,6486,0.5,0.34,0.99,1.22,1.23
Nalgonda,1223,777,3680,940,405,2184,3087,1912,1398,11123,0.64,0.26,0.88,1.14,1.41
Nan,181,3,613,560,22,244,143,388,502,1207,0.02,0.91,1.59,2.77,0.59
Narayanpet,617,242,1639,399,69,1057,1245,897,555,5339,0.39,0.24,0.85,0.9,1.18
Nirmal,643,336,1760,407,248,1112,1271,1070,656,5928,0.52,0.23,0.96,1.02,1.14
Nizamabad,1450,640,3465,814,512,2106,2722,2291,1503,13212,0.44,0.23,1.09,1.04,1.29
Peddapalli,618,374,1320,401,105,837,976,801,537,5621,0.61,0.3,0.96,0.87,1.17
Rajanna Sircilla,550,251,1158,285,46,778,783,1110,595,3291,0.46,0.25,1.43,1.08,1.01
Ranga Reddy,3118,1029,6656,1404,764,4431,4860,4309,2103,20703,0.33,0.21,0.97,0.67,1.1
Sangareddy,1542,797,3808,1109,249,2530,2585,2370,1216,12104,0.52,0.29,0.94,0.79,1.02
Siddipet,700,534,1876,639,296,1121,1560,1076,773,8109,0.76,0.34,0.96,1.1,1.39
Suryapet,810,455,2122,504,213,1336,1643,1227,679,7900,0.56,0.24,0.92,0.84,1.23
Vikarabad,752,324,1978,731,114,1197,1451,1579,677,8020,0.43,0.37,1.32,0.9,1.21
Wanaparthy,448,115,1472,388,136,871,1078,773,475,4656,0.26,0.26,0.89,1.06,1.24
Warangal,701,447,1777,480,154,1095,1223,1105,699,5196,0.64,0.27,1.01,1.0,1.12
Yadadri Bhuvanagiri,652,350,1718,428,296,1073,1410,981,606,5867,0.54,0.25,0.91,0.93,1.31
