dataDate,districtName,mandalName,villageName,pwRegCnt,pwTrkCnt,delCnt,anc1Cnt,anc2Cnt,anc3Cnt,anc4Cnt,chImzCnt,highRiskCnt,govtDelCnt,pvtDelCnt,kitsCnt
2023-12-01,Adilabad,Adilabad Rural,Addagutta,0,0,1,0,0,0,3,3,0,1,0,1
2023-12-01,Adilabad,Adilabad Rural,Allikori,0,0,1,0,0,1,0,6,0,1,0,1
2023-12-01,Adilabad,Adilabad Rural,Ankapoor,0,0,0,0,1,0,0,2,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Ankoli,2,0,3,2,1,1,1,19,0,0,3,0
2023-12-01,Adilabad,Adilabad Rural,Anukunta,0,0,0,0,2,1,0,14,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Arli (Buzurg),1,0,1,1,0,2,1,3,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Asodabhurki,0,0,0,0,0,0,0,2,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Bangariguda,4,0,7,5,10,6,4,41,3,5,1,4
2023-12-01,Adilabad,Adilabad Rural,Belluri,1,0,1,1,0,0,0,1,1,1,0,1
2023-12-01,Adilabad,Adilabad Rural,Bheemseri,3,0,3,5,6,2,4,20,1,0,1,0
2023-12-01,Adilabad,Adilabad Rural,Boppapur,0,0,0,0,2,1,0,1,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Borenur,1,0,1,1,1,1,0,5,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Chanda,3,0,6,3,4,2,1,30,0,3,2,3
2023-12-01,Adilabad,Adilabad Rural,Chichadhari,1,0,2,1,1,0,1,11,0,2,0,2
2023-12-01,Adilabad,Adilabad Rural,Chilatiguda,0,0,0,0,0,0,0,2,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Chithaguda,0,0,4,1,2,0,0,1,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Chityalbori,0,0,1,0,0,1,0,5,1,1,0,1
2023-12-01,Adilabad,Adilabad Rural,Darloddi,1,0,1,1,3,0,1,3,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Dhaiguda,0,0,0,0,0,0,2,3,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Dimma,0,0,0,0,0,0,0,1,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Hanumannagar Kojjacolony,0,0,0,0,0,0,1,6,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Hathigutta,2,0,4,3,2,0,0,8,0,0,0,0
2023-12-01,Adilabad,Adilabad Rural,Jamdapur,1,0,2,1,2,2,0,6,1,0,2,0
2023-12-01,Adilabad,Adilabad Rural,Jamuldhari,0,0,0,0,0,0,0,3,0,0,0,0
