district,mandal,date,min_temp_degc,max_temp_degc
Adilabad,19.0,2025-07-01,22.5,27.6
Adilabad,19.0,2025-07-02,22.8,25.8
Adilabad,19.0,2025-07-03,22.8,29.9
Adilabad,19.0,2025-07-04,23.6,29.3
Adilabad,19.0,2025-07-05,23.7,29.7
Adilabad,19.0,2025-07-06,23.2,28.7
Adilabad,19.0,2025-07-07,23.7,24.84
Adilabad,19.0,2025-07-08,22.8,26.0
Adilabad,19.0,2025-07-09,23.0,25.3
Adilabad,19.0,2025-07-10,22.5,24.6
Adilabad,19.0,2025-07-11,22.6,27.0
Adilabad,19.0,2025-07-12,24.0,32.6
Adilabad,19.0,2025-07-13,24.2,32.1
Adilabad,19.0,2025-07-14,24.4,32.2
Adilabad,19.0,2025-07-15,24.2,33.1
Adilabad,19.0,2025-07-16,24.9,31.4
Adilabad,19.0,2025-07-17,23.9,30.2
Adilabad,19.0,2025-07-18,23.5,29.5
Adilabad,19.0,2025-07-19,23.5,32.7
Adilabad,19.0,2025-07-20,24.0,33.8
Adilabad,19.0,2025-07-21,24.4,30.9
Adilabad,19.0,2025-07-22,23.8,31.8
Adilabad,19.0,2025-07-23,23.7,30.9
Adilabad,19.0,2025-07-24,22.6,29.7
Adilabad,19.0,2025-07-25,22.7,25.4
Adilabad,19.0,2025-07-26,22.8,26.0
Adilabad,19.0,2025-07-27,22.9,25.0
Adilabad,19.0,2025-07-28,23.3,27.8
Adilabad,19.0,2025-07-29,22.3,29.3
Adilabad,20.0,2025-07-01,23.5,29.8
Adilabad,20.0,2025-07-02,23.9,27.1
Adilabad,20.0,2025-07-03,24.0,31.8
Adilabad,20.0,2025-07-04,23.7,31.0
Adilabad,20.0,2025-07-05,24.3,30.2
Adilabad,20.0,2025-07-06,23.4,31.9
Adilabad,20.0,2025-07-07,23.56,31.07
Adilabad,20.0,2025-07-08,23.0,26.3
Adilabad,20.0,2025-07-09,22.1,25.8
Adilabad,20.0,2025-07-10,22.1,29.3
Adilabad,20.0,2025-07-11,22.3,27.7
Adilabad,20.0,2025-07-12,25.1,33.8
Adilabad,20.0,2025-07-13,25.6,34.2
Adilabad,20.0,2025-07-14,25.6,34.1
Adilabad,20.0,2025-07-15,25.4,35.4
Adilabad,20.0,2025-07-16,25.3,34.2
Adilabad,20.0,2025-07-17,24.6,35.5
Adilabad,20.0,2025-07-18,24.5,32.5
Adilabad,20.0,2025-07-19,24.1,34.6
Adilabad,20.0,2025-07-20,25.9,35.8
Adilabad,20.0,2025-07-21,25.3,33.6
Adilabad,20.0,2025-07-22,24.9,32.9
Adilabad,20.0,2025-07-23,25.3,32.4
Adilabad,20.0,2025-07-24,23.4,30.7
Adilabad,20.0,2025-07-25,23.8,26.6
Adilabad,20.0,2025-07-26,23.9,27.3
Adilabad,20.0,2025-07-27,23.5,26.1
Adilabad,20.0,2025-07-28,24.9,29.9
Adilabad,20.0,2025-07-29,22.7,31.6
Adilabad,21.0,2025-07-01,23.3,29.6
Adilabad,21.0,2025-07-02,22.9,27.1
Adilabad,21.0,2025-07-03,24.0,26.8
Adilabad,21.0,2025-07-04,24.4,30.8
Adilabad,21.0,2025-07-05,24.5,31.9
Adilabad,21.0,2025-07-06,24.4,28.3
Adilabad,21.0,2025-07-07,24.9,26.3
Adilabad,21.0,2025-07-08,24.2,29.6
Adilabad,21.0,2025-07-09,24.5,27.6
Adilabad,21.0,2025-07-10,24.1,30.2
Adilabad,21.0,2025-07-11,24.3,31.0
Adilabad,21.0,2025-07-12,24.9,32.7
Adilabad,21.0,2025-07-13,25.1,32.7
Adilabad,21.0,2025-07-14,25.1,33.8
Adilabad,21.0,2025-07-15,24.8,34.4
Adilabad,21.0,2025-07-16,25.2,32.9
Adilabad,21.0,2025-07-17,25.5,33.5
