District,Mandal,Date,Min Temp (°C),Max Temp (°C),temp_range
Adilabad,19,2025-07-01,22.5,27.6,5.100000000000001
Adilabad,19,2025-07-02,22.8,25.8,3.0
Adilabad,19,2025-07-03,22.8,29.9,7.099999999999998
Adilabad,19,2025-07-04,23.6,29.3,5.699999999999999
Adilabad,19,2025-07-05,23.7,29.7,6.0
Adilabad,19,2025-07-06,23.2,28.7,5.5
Adilabad,19,2025-07-07,23.7,24.84,1.1400000000000006
Adilabad,19,2025-07-08,22.8,26.0,3.1999999999999993
Adilabad,19,2025-07-09,23.0,25.3,2.3000000000000007
Adilabad,19,2025-07-10,22.5,24.6,2.1000000000000014
Adilabad,19,2025-07-11,22.6,27.0,4.399999999999999
Adilabad,19,2025-07-12,24.0,32.6,8.600000000000001
Adilabad,19,2025-07-13,24.2,32.1,7.900000000000002
Adilabad,19,2025-07-14,24.4,32.2,7.800000000000004
Adilabad,19,2025-07-15,24.2,33.1,8.900000000000002
Adilabad,19,2025-07-16,24.9,31.4,6.5
Adilabad,19,2025-07-17,23.9,30.2,6.300000000000001
Adilabad,19,2025-07-18,23.5,29.5,6.0
Adilabad,19,2025-07-19,23.5,32.7,9.200000000000003
Adilabad,19,2025-07-20,24.0,33.8,9.799999999999997
Adilabad,19,2025-07-21,24.4,30.9,6.5
Adilabad,19,2025-07-22,23.8,31.8,8.0
Adilabad,19,2025-07-23,23.7,30.9,7.199999999999999
Adilabad,19,2025-07-24,22.6,29.7,7.099999999999998
Adilabad,19,2025-07-25,22.7,25.4,2.6999999999999993
Adilabad,19,2025-07-26,22.8,26.0,3.1999999999999993
Adilabad,19,2025-07-27,22.9,25.0,2.1000000000000014
Adilabad,19,2025-07-28,23.3,27.8,4.5
Adilabad,19,2025-07-29,22.3,29.3,7.0
Adilabad,20,2025-07-01,23.5,29.8,6.300000000000001
Adilabad,20,2025-07-02,23.9,27.1,3.200000000000003
Adilabad,20,2025-07-03,24.0,31.8,7.800000000000001
Adilabad,20,2025-07-04,23.7,31.0,7.300000000000001
Adilabad,20,2025-07-05,24.3,30.2,5.899999999999999
Adilabad,20,2025-07-06,23.4,31.9,8.5
